date,open,high,low,close,volume,R_t1
6/13/14,327.05,329.298,323.5262,326.27,2764800,0.232721366
6/6/14,325,330.88,324.93,329.67,5244000,0.165529166
5/30/14,314.43,314.65,307.57,312.55,4260200,0.238041913
5/23/14,305.46,312.35,304.9,312.24,3052900,0.260632847
5/16/14,292.8,298.88,291.55,297.7,3636800,0.250621431
5/9/14,290.57,293.68,284.38,292.24,4063000,0.26324254
5/2/14,310.42,313.29,304.31,308.01,3995100,0.137333203
4/25/14,316.25,316.49,302.71,303.83,16180200,0.181588388
4/11/14,314,316.5,309.5,311.73,7287500,0.165720335
4/4/14,335.15,335.44,315.61,323,12534600,0.018362229
3/28/14,340.05,347,336.08,338.29,3986800,-0.080998552
3/21/14,371,372.84,358.4,360.62,5414100,-0.115301425
3/14/14,372.8,378.568,371.55,373.74,4402200,-0.154465671
3/7/14,374.58,374.99,369.531,372.06,2279800,-0.149760791
2/28/14,360.6,365.865,357.084,362.1,3882000,-0.177243855
2/21/14,352.44,354.141,346.75,346.76,4210000,-0.146787403
2/14/14,359.34,359.34,353.35,357.35,3520200,-0.213712047
2/7/14,358.98,361.8,352.49,361.08,4330500,-0.196826188
1/31/14,371.76,375.45,357.76,358.69,16154800,-0.205943851
1/24/14,398.16,400.2,387.27,387.6,4458400,-0.233075335
1/17/14,394.26,403.49,393.66,399.61,4505100,-0.238732764
1/10/14,402.53,403.764,393.8,397.66,2679500,-0.215385002
1/3/14,398.29,402.71,396.22,396.44,2210200,-0.230072647
12/27/13,404.65,405.63,396.25,398.08,1986900,-0.2274166
12/20/13,396.55,404.72,395.78,402.2,5033900,-0.289209349
12/13/13,385.32,389.42,383.8,384.24,3025000,-0.277300645
12/6/13,388.35,388.35,383.83,386.95,1984700,-0.293552139
11/29/13,389.1,394.0999,388.62,393.62,2406000,-0.303922565
11/22/13,370,374.5,366.31,372.31,2965500,-0.256345519
11/15/13,367.63,372.9,365.55,369.17,4491600,-0.270796652
11/8/13,345.95,351.05,344.04,350.31,2656900,-0.252833205
11/1/13,365.63,365.77,356.1,359.002,3331000,-0.248193603
10/25/13,358.6,368.4,352.62,363.39,12036800,-0.274525991
10/18/13,319.36,331.89,316.75,328.931,5969800,-0.215488963
10/11/13,304.77,310.93,303.84,310.889,2163100,-0.180382709
10/4/13,315.13,319.2,312.62,319.04,1815000,-0.184052156
9/27/13,316.92,317.21,313.35,316.01,1657500,-0.136514667
9/20/13,312.54,320.57,312.41,316.34,5302300,-0.192387937
9/13/13,300.14,300.22,296.201,297.92,1350600,-0.134834855
9/6/13,295.33,298.88,290.8,295.86,2292000,-0.115054418
8/30/13,284.59,284.87,280,280.98,1534700,-0.024165421
8/23/13,291.21,291.5,287.9,290.01,1961900,-0.083686769
8/16/13,286.55,288.33,284.5,284.82,2422500,-0.068113194
8/9/13,295.68,299.27,294.2987,297.26,1950300,-0.108221759
8/2/13,304.63,305.33,301.5,304.21,2502600,-0.138917195
7/26/13,299.55,313.62,295.55,312.01,8817500,-0.150668248
7/19/13,304.39,305.79,301.91,305.23,2973100,-0.069586869
7/12/13,298.69,307.55,298.5,307.55,4539300,-0.11520078
7/5/13,285,286.3799,282.07,285.88,1985400,-0.062753603
6/28/13,276.19,279.83,276.19,277.69,3193300,-0.066765098
6/21/13,274.57,275.8399,269.79,273.36,4201000,-0.103087504
6/14/13,275,277.07,273.442,273.99,2150800,-0.062301544
6/7/13,269.74,280.1,269.13,276.87,4632600,-0.099974717
5/31/13,266,271.91,265.94,269.2,3374300,-0.059182392
5/24/13,259.85,261.93,258.34,261.74,1696300,-0.037021472
5/17/13,265.83,269.98,265,269.9,2527300,-0.11122638
5/10/13,260.88,263.65,260.21,263.63,3145300,-0.145658688
5/3/13,256.14,259.25,254.7,258.05,3514000,-0.122999419
4/26/13,269.97,272.02,252.81,254.81,14030000,-0.087859974
4/19/13,258.16,262.88,257.5,260.32,2602500,-0.084818685
4/12/13,270.12,273.27,267.02,272.87,2866300,-0.120460292
4/5/13,255.72,256.18,253.67,255.48,2557400,-0.051354313
3/22/13,254.55,257.77,252.07,257.75,3124600,0.002948594
3/15/13,264.98,267.26,260.05,261.82,4865900,-0.028645634
3/8/13,275,275.44,271.5,274.19,1879800,-0.060979613
3/1/13,263.27,266.6,261.04,265.74,2957000,-0.016820953
2/22/13,266.62,267.11,261.61,265.42,3124800,-0.023660613
2/15/13,267.63,268.92,263.11,265.09,3979900,-0.063450149
2/8/13,261.4,265.25,260.555,261.95,3879200,-0.061882039
2/1/13,268.93,268.93,262.8,265,6115000,-0.089924528
1/25/13,275,284.72,274.4,283.99,4968100,-0.180428888
1/18/13,270.83,274.5,269.6,272.12,2942000,-0.136520653
1/11/13,265.1,268.43,264.11,267.94,2413300,-0.114279316
1/4/13,257.58,259.8,256.65,259.15,1874200,-0.119081613
12/28/12,245.85,247.44,245.05,245.18,1858700,-0.109266661
12/21/12,257.82,258.38,255.74,256.92,4704600,-0.124046396
12/14/12,250.11,251.9,247.79,249.19,2526900,-0.083630964
12/7/12,254.14,255.21,252.01,253.2681,2170300,-0.122826759
11/30/12,250.38,252.65,248.27,252.05,3797400,-0.13370363
11/23/12,239.89,240,236.48,239.88,1776800,-0.089211272
11/16/12,221.31,226.25,218.64,225.23,4352800,-0.075522799
11/9/12,226.26,230.97,224.6002,226.31,3092500,-0.059299191
11/2/12,234.01,237.4,232.11,232.4224,3374700,-0.079907961
10/26/12,228.6001,238.71,226.69,238.24,11367500,-0.04432505
10/19/12,245.16,246.82,238.94,240,4395300,-0.066708333
10/12/12,243.33,245.46,241.91,242.36,2203200,-0.063995709
10/5/12,261.2,261.9,257.49,258.51,2806500,-0.265096128
9/28/12,256.14,257,253.2,254.32,2456600,-0.258965083
9/21/12,261.74,262,256.74,257.47,6059300,-0.213461763
9/14/12,261.4,264.11,259.77,261.27,3666200,-0.253492556
9/7/12,253.85,259.42,253.52,259.14,5029500,-0.285907232
8/31/12,248.07,249.45,245.5001,248.27,3347500,-0.257582471
8/24/12,241.68,246.87,241.36,245.74,3698800,-0.270367055
8/17/12,240.6,243.35,240.47,241.17,3085800,-0.257245926
8/10/12,233.08,234.85,231.43,232.75,1852500,-0.215896885
8/3/12,234.03,236.49,233.03,234.97,2825300,-0.210367281
7/27/12,225.25,238.34,224.5,237.32,11313900,-0.209169054
7/20/12,225.36,229.39,225.295,228.29,4170000,-0.144202549
7/13/12,215.63,219.31,213.88,218.39,2221900,-0.125738358
7/6/12,226.35,228.9,224.18,225.05,3203200,-0.2071984
6/29/12,224.7,228.35,223.71,228.35,3614400,-0.200306547
6/22/12,221.83,222.51,219.35,222.16,2187500,-0.220831833
6/15/12,215.29,219.33,214.46,218.35,3785200,-0.188092512
6/8/12,218.61,219.42,216.66,218.48,2877000,-0.170358843
6/1/12,208.44,211.23,207.3,208.22,3951500,-0.072951686
5/25/12,214.99,215.98,212.22,212.89,2171400,-0.079195829
5/18/12,219.41,219.63,212.81,213.85,5231700,-0.147070376
5/11/12,225.95,230.68,225.73,227.68,4193600,-0.134135629
5/4/12,227.8,229.7199,223.74,223.99,4585200,-0.029465601
4/27/12,224.83,228.69,220.22,226.85,22116900,-0.045713026
4/20/12,192.34,193.48,189.8,189.98,3243600,0.143909885
4/13/12,189.9,189.94,186.26,188.46,3431800,0.245781598
3/30/12,205.02,206.85,201.87,202.51,4438100,0.218260827
3/23/12,192.01,196.2,191.8,195.04,5984000,0.152276456
3/16/12,183.28,185.68,182.35,185.05,4934000,0.168495001
3/9/12,186.79,187.2,183.44,184.32,4510600,0.213161892
3/2/12,179.48,181.84,178.918,179.3,3657800,0.33463469
2/24/12,179.7,180.74,178.37,179.13,3668700,0.18009267
2/17/12,180.09,183.41,179.36,182.5,7418100,0.150684932
2/10/12,183.42,187.63,182.52,185.54,5797100,0.074000216
2/3/12,182.83,187.9,181.89,187.68,8120500,-0.04662191
1/27/12,193.09,196.5,192.33,195.37,4659000,0.035471157
1/20/12,190.71,192.9,189.04,190.93,5610300,0.061645629
1/13/12,175.81,178.8,173.5,178.42,4753500,0.2471696
1/6/12,178.07,184.65,177.5,182.61,7008400,0.185696293
12/30/11,173.36,175.17,172.49,173.1,4279800,0.229751589
12/23/11,179.22,179.68,175.6,177.28,3496500,0.231272563
12/16/11,182.42,184.41,180.31,181.26,6664100,0.155743131
12/9/11,191.21,193.95,188.4,193.03,5158800,-0.00248666
12/2/11,197.07,199.66,195.18,196.03,7526200,-0.049278172
11/25/11,190.41,190.83,181.51,182.399,4972000,0.02264815
11/18/11,205.33,205.34,197.11,197.14,8437500,-0.044739779
11/11/11,212.52,217.88,210.31,217.39,5163100,-0.106996642
